Year,Observed,Estimated,COObserved,COEstimated
1975,199.1,200.5,168.9,168.3
1976,202.3,201.6,167.1,169.3
1977,203,202.7,172.6,170.4
1978,204.4,203.8,170.9,171.5
1979,204.5,204.9,178.5,172.6
1980,207,206,175.8,173.7
1981,206.4,207.2,174.9,174.8
1982,208.3,208.3,175.5,175.9
1983,209.2,209.4,173.1,177
1984,210.9,210.6,180.8,178.2
1985,211.3,211.2,170.9,179.3
1986,211.8,211.9,180.6,180.4
1987,211.9,212.5,179.1,181.6
1988,212.6,213.1,178.2,182.7
1989,214.3,213.8,184.5,183.9
1990,214.9,214.4,189.5,185.1
1991,215.1,215.1,194.5,186.3
1992,213.5,214.1,178.8,184.7
1993,213.4,213.1,185.5,183.1
1994,211.7,212.1,182.8,181.6
1995,209.9,209.4,179.2,180
1996,207,206.7,180.1,178.5
1997,203.6,204.1,175,177
1998,200.8,201.5,175,175.5
1999,200.7,199.9,171.8,174.1
2000,198.8,198.3,169.4,172.6
2001,196.3,196.7,171.4,171.1
2002,194.4,193.7,174.2,169.7
2003,190.9,190.7,170.1,166.7
2004,186.8,187.8,159.9,163.8
2005,185.2,185,160.5,161
2006,182,182.1,158.4,158.2
2007,179.3,179.4,154.7,155.4
2008,176.3,176.6,151.2,152.7
2009,173.4,173.9,151.9,150
2010,171.7,171.3,148.8,147.4
2011,168.7,168.7,144.3,144.9
2012,166.3,166.1,143.8,142.3
2013,163.2,163.5,139.4,139.8
2014,161.3,161.1,136.5,137.4
2015,158.7,158.6,134.9,135
